"Country","Year","Nicotine replacement therapy - legally sold","Nicotine replacement therapy - place available","Nicotine replacement therapy - cost covered","Nicotine replacement therapy on the Essential Medicines List","Bupropion - legally sold","Bupropion - place available","Bupropion - cost covered","Varenicline - legally sold","Varenicline - place available","Varenicline - cost covered"
"Dominican Republic","2007","Yes","In a pharmacy with a prescription","No","Not available","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Ecuador","2014","No","Not applicable","Not applicable","No","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Ecuador","2012","No","Not applicable","Not applicable","No","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Ecuador","2010","No","Not applicable","Not applicable","No","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Ecuador","2007","No","Not applicable","Not applicable","Not available","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Egypt","2014","Yes","In a pharmacy without a prescription","No","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Egypt","2012","Yes","In a pharmacy without a prescription","No","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Egypt","2010","Yes","In a pharmacy without a prescription","No","Not available","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Egypt","2007","Yes","In a pharmacy without a prescription","No","Not available","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"El Salvador","2014","Yes","In a pharmacy with a prescription","Fully","No","Yes","In a pharmacy with a prescription","No","No","Not applicable","Not applicable"
"El Salvador","2012","Yes","In a pharmacy without a prescription","Partially","No","Yes","In a pharmacy with a prescription","Partially","Yes","In a pharmacy with a prescription","Partially"
"El Salvador","2010","Yes","In a pharmacy without a prescription","Partially","No","Yes","In a pharmacy with a prescription","Partially","Yes","In a pharmacy with a prescription","Partially"
"El Salvador","2007","Yes","In a pharmacy with a prescription","Partially","Not available","Yes","In a pharmacy with a prescription","Partially","Yes","In a pharmacy with a prescription","Partially"
"Equatorial Guinea","2014","No","Not applicable","Not applicable","Not available","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Equatorial Guinea","2012","No","Not applicable","Not applicable","Not available","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Equatorial Guinea","2010","No","Not applicable","Not applicable","Not available","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Equatorial Guinea","2007","No","Not applicable","Not applicable","Not available","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Eritrea","2014","No","Not applicable","Not applicable","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Eritrea","2012","No","Not applicable","Not applicable","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Eritrea","2010","No","Not applicable","Not applicable","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Eritrea","2007","No","Not applicable","Not applicable","Not available","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Estonia","2014","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy with a prescription","Partially","Yes","In a pharmacy with a prescription","No"
"Estonia","2012","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Estonia","2010","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Estonia","2007","Yes","In a pharmacy without a prescription","No","Not available","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Eswatini","2014","Yes","In a pharmacy with a prescription","Partially","No","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Eswatini","2012","Yes","In a pharmacy with a prescription","Partially","No","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Eswatini","2010","Yes","In a pharmacy with a prescription","Partially","No","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Eswatini","2007","Yes","In a pharmacy with a prescription","Partially","Not available","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Ethiopia","2014","No","Not applicable","Not applicable","Yes","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Ethiopia","2012","No","Not applicable","Not applicable","Yes","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Ethiopia","2010","Yes","Not available","Not available","Yes","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Ethiopia","2007","No","Not applicable","Not applicable","Not available","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Fiji","2014","Yes","In a pharmacy without a prescription","No","No","Yes","Not available","No","Yes","Not available","No"
"Fiji","2012","Yes","In a pharmacy without a prescription","No","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Fiji","2010","No","Not applicable","Not applicable","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Fiji","2007","No","Not applicable","Not applicable","Not available","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Finland","2014","Yes","In a general store without a prescription","No","Yes","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","Partially"
"Finland","2012","Yes","In a general store without a prescription","No","No","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Finland","2010","Yes","In a general store without a prescription","No","No","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Finland","2007","Yes","In a general store without a prescription","No","Not available","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"France","2014","Yes","In a pharmacy without a prescription","Partially","Yes","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"France","2012","Yes","In a pharmacy without a prescription","Partially","Yes","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"France","2010","Yes","In a pharmacy without a prescription","Partially","Yes","Yes","In a pharmacy with a prescription","Partially","Yes","In a pharmacy with a prescription","Partially"
"France","2007","Yes","In a pharmacy without a prescription","Partially","Not available","Yes","In a pharmacy with a prescription","Partially","Yes","In a pharmacy with a prescription","Partially"
"Gabon","2014","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Gabon","2012","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Gabon","2010","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy without a prescription","No","Yes","In a pharmacy without a prescription","No"
"Gabon","2007","Yes","In a pharmacy without a prescription","No","Not available","Yes","In a pharmacy without a prescription","No","Yes","In a pharmacy without a prescription","No"
"Gambia","2014","No","Not applicable","Not applicable","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Gambia","2012","No","Not applicable","Not applicable","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Gambia","2010","No","Not applicable","Not applicable","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Gambia","2007","No","Not applicable","Not applicable","Not available","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Georgia","2014","No","Not applicable","Not applicable","Not applicable","No","Not applicable","Not applicable","Yes","In a pharmacy without a prescription","No"
"Georgia","2012","Yes","In a pharmacy without a prescription","No","Yes","No","Not applicable","Not applicable","Yes","In a pharmacy without a prescription","No"
"Georgia","2010","Yes","In a pharmacy without a prescription","No","Yes","No","Not applicable","Not applicable","Yes","In a pharmacy without a prescription","No"
"Georgia","2007","Yes","In a pharmacy without a prescription","No","Not available","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Germany","2014","Yes","In a pharmacy without a prescription","No","Not applicable","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Germany","2012","Yes","In a pharmacy without a prescription","No","Not available","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Germany","2010","Yes","In a pharmacy without a prescription","No","Not available","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Germany","2007","Yes","In a pharmacy without a prescription","No","Not available","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Ghana","2014","No","Not applicable","Not applicable","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Ghana","2012","No","Not applicable","Not applicable","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Ghana","2010","No","Not applicable","Not applicable","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Ghana","2007","No","Not applicable","Not applicable","Not available","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Greece","2014","Yes","In a pharmacy without a prescription","No","No","Yes","in a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Greece","2012","Yes","In a pharmacy without a prescription","Partially","No","Yes","in a pharmacy with a prescription","Partially","Yes","In a pharmacy with a prescription","Partially"
"Greece","2010","Yes","In a pharmacy with a prescription","No","No","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Greece","2007","Yes","In a pharmacy without a prescription","No","Not available","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Grenada","2014","No","Not applicable","Not applicable","No","Yes","In a pharmacy with a prescription","No","No","Not applicable","Not applicable"
"Grenada","2012","No","Not applicable","Not applicable","No","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Grenada","2010","No","Not applicable","Not applicable","No","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Grenada","2007","No","Not applicable","Not applicable","Not available","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Guatemala","2014","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Guatemala","2012","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Guatemala","2010","Yes","In a pharmacy with a prescription","No","No","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Guatemala","2007","Yes","In a pharmacy with a prescription","No","Not available","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Guinea","2014","Yes","In a general store without a prescription","No","No","Yes","In a pharmacy without a prescription","No","Yes","In a pharmacy without a prescription","No"
"Guinea","2012","Yes","In a general store without a prescription","No","No","Yes","In a pharmacy without a prescription","No","Yes","In a pharmacy without a prescription","No"
"Guinea","2010","Yes","In a general store without a prescription","No","No","Yes","In a pharmacy without a prescription","No","Yes","In a pharmacy without a prescription","No"
"Guinea","2007","Yes","In a general store without a prescription","No","Not available","Yes","In a pharmacy without a prescription","No","Yes","In a pharmacy without a prescription","No"
"Guinea-Bissau","2014","No","Not applicable","Not applicable","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Guinea-Bissau","2012","No","Not applicable","Not applicable","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Guinea-Bissau","2010","No","Not applicable","Not applicable","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Guinea-Bissau","2007","No","Not applicable","Not applicable","Not available","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Guyana","2014","No","Not applicable","Not applicable","Yes","Yes","In a pharmacy with a prescription","Fully","No","Not applicable","Not applicable"
"Guyana","2012","No","Not applicable","Not applicable","Yes","Yes","In a pharmacy with a prescription","Fully","No","Not applicable","Not applicable"
"Guyana","2010","Yes","In a pharmacy without a prescription","No","Yes","Yes","In a pharmacy with a prescription","Partially","Yes","In a pharmacy with a prescription","Partially"
"Guyana","2007","Yes","In a pharmacy without a prescription","No","Not available","Yes","In a pharmacy with a prescription","Partially","Yes","In a pharmacy with a prescription","Partially"
"Haiti","2014","Yes","In a pharmacy without a prescription","No","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Haiti","2012","Yes","In a pharmacy without a prescription","No","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Haiti","2010","Yes","In a pharmacy with a prescription","No","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Haiti","2007","Yes","In a pharmacy with a prescription","No","Not available","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Honduras","2014","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Honduras","2012","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Honduras","2010","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Honduras","2007","Yes","In a pharmacy without a prescription","No","Not available","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Hungary","2014","Yes","In a pharmacy without a prescription","No","No","No","Not applicable","Not applicable","Yes","In a pharmacy without a prescription","No"
"Hungary","2012","Yes","In a pharmacy without a prescription","No","No","No","Not applicable","Not applicable","Yes","In a pharmacy with a prescription","No"
"Hungary","2010","Yes","In a pharmacy without a prescription","No","No","No","Not applicable","Not applicable","Yes","In a pharmacy with a prescription","No"
"Hungary","2007","Yes","In a pharmacy without a prescription","No","Not available","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Iceland","2014","Yes","In a general store without a prescription","No","Yes","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Iceland","2012","Yes","In a general store without a prescription","No","No","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Iceland","2010","Yes","In a general store without a prescription","No","No","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Iceland","2007","Yes","In a pharmacy without a prescription","No","Not available","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"India","2014","Yes","In a general store without a prescription","No","No","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"India","2012","Yes","In a general store without a prescription","No","No","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"India","2010","Yes","In a general store without a prescription","No","Not applicable","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"India","2007","Yes","In a general store without a prescription","No","Not available","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Indonesia","2014","Yes","In a pharmacy without a prescription","No","No","No","Not applicable","Not applicable","Yes","In a pharmacy without a prescription","No"
"Indonesia","2012","Yes","In a pharmacy without a prescription","No","No","No","Not applicable","Not applicable","Yes","In a pharmacy without a prescription","No"
"Indonesia","2010","No","Not applicable","Not applicable","No","No","Not applicable","Not applicable","Yes","In a pharmacy without a prescription","No"
"Indonesia","2007","No","Not applicable","Not applicable","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Iran (Islamic Republic of)","2014","Yes","In a pharmacy without a prescription","Fully","Yes","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Iran (Islamic Republic of)","2012","Yes","In a pharmacy without a prescription","Fully","Yes","Yes","In a pharmacy with a prescription","No","No","Not applicable","Not applicable"
"Iran (Islamic Republic of)","2010","Yes","In a pharmacy without a prescription","Fully","Yes","Yes","In a pharmacy with a prescription","No","No","Not applicable","Not applicable"
"Iran (Islamic Republic of)","2007","Yes","In a pharmacy without a prescription","Fully","Not available","Yes","In a pharmacy with a prescription","No","No","Not applicable","Not applicable"
"Iraq","2014","Yes","In a pharmacy without a prescription","Fully","Yes","Yes","Not available","Fully","No","Not applicable","Not applicable"
"Iraq","2012","Yes","In a pharmacy without a prescription","No","Yes","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Iraq","2010","Yes","In a pharmacy without a prescription","No","Yes","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Iraq","2007","Yes","In a pharmacy with a prescription","No","Not available","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Ireland","2014","Yes","In a general store without a prescription","Partially","Yes","Yes","In a pharmacy with a prescription","Partially","Yes","In a pharmacy with a prescription","Partially"
"Ireland","2012","Yes","In a pharmacy without a prescription","Partially","Yes","Yes","In a pharmacy with a prescription","Partially","Yes","In a pharmacy with a prescription","Partially"
"Ireland","2010","Yes","In a pharmacy without a prescription","Partially","Yes","Yes","In a pharmacy with a prescription","Partially","Yes","In a pharmacy with a prescription","Partially"
"Ireland","2007","Yes","In a pharmacy without a prescription","Partially","Yes","Yes","In a pharmacy with a prescription","Partially","Yes","In a pharmacy with a prescription","Partially"
"Israel","2014","Yes","In a pharmacy without a prescription","Partially","No","Yes","In a pharmacy with a prescription","Partially","Yes","In a pharmacy with a prescription","Partially"
"Israel","2012","Yes","In a pharmacy without a prescription","Partially","No","Yes","In a pharmacy with a prescription","Partially","Yes","In a pharmacy with a prescription","Partially"
"Israel","2010","Yes","In a pharmacy without a prescription","Partially","No","Yes","In a pharmacy with a prescription","Partially","Yes","In a pharmacy with a prescription","Partially"
"Israel","2007","Yes","In a pharmacy without a prescription","Partially","Not available","Yes","In a pharmacy with a prescription","Partially","Yes","In a pharmacy with a prescription","Partially"
"Italy","2014","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Italy","2012","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Italy","2010","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Italy","2007","Yes","In a pharmacy without a prescription","No","Not available","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Jamaica","2014","Yes","In a pharmacy with a prescription","No","No","Yes","In a pharmacy with a prescription","Partially","Yes","In a pharmacy with a prescription","No"
"Jamaica","2012","Yes","In a pharmacy with a prescription","No","No","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Jamaica","2010","Yes","In a pharmacy with a prescription","No","No","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Jamaica","2007","Yes","In a pharmacy with a prescription","No","Not available","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Japan","2014","Yes","In a pharmacy without a prescription","Partially","Yes","No","Not applicable","Not applicable","Yes","In a pharmacy with a prescription","Partially"
"Japan","2012","Yes","In a pharmacy without a prescription","Partially","Yes","No","Not applicable","Not applicable","Yes","In a pharmacy with a prescription","Partially"
"Japan","2010","Yes","In a pharmacy without a prescription","Partially","Yes","No","Not applicable","Not applicable","Yes","In a pharmacy with a prescription","Partially"
"Japan","2007","Yes","In a pharmacy without a prescription","Partially","Not available","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Jordan","2014","Yes","In a pharmacy without a prescription","Fully","No","No","Not applicable","Not applicable","Yes","In a pharmacy with a prescription","Partially"
"Jordan","2012","Yes","In a pharmacy without a prescription","Partially","No","No","Not applicable","Not applicable","Yes","In a pharmacy with a prescription","Partially"
"Jordan","2010","Yes","In a pharmacy without a prescription","Fully","No","No","Not applicable","Not applicable","Yes","In a pharmacy with a prescription","Fully"
"Jordan","2007","Yes","In a pharmacy without a prescription","Fully","Not available","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Kazakhstan","2014","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Kazakhstan","2012","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Kazakhstan","2010","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Kazakhstan","2007","Yes","In a pharmacy without a prescription","No","Not available","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Kenya","2014","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy with a prescription","No","No","Not applicable","Not applicable"
"Kenya","2012","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Kenya","2010","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Kenya","2007","Yes","In a pharmacy without a prescription","No","Not available","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Kiribati","2014","No","Not applicable","Not applicable","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Kiribati","2012","Not available","Not available","Not available","No","Not available","Not available","Not available","Not available","Not available","Not available"
"Kiribati","2010","Not available","Not available","Not available","No","Not available","Not available","Not available","Not available","Not available","Not available"
"Kiribati","2007","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Kuwait","2014","Yes","In a pharmacy without a prescription","Partially","Yes","No","Not applicable","Not applicable","Yes","In a pharmacy with a prescription","No"
"Kuwait","2012","Yes","In a pharmacy without a prescription","Partially","Yes","No","Not applicable","Not applicable","Yes","In a pharmacy with a prescription","No"
"Kuwait","2010","Yes","In a pharmacy without a prescription","Partially","Yes","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Kuwait","2007","Yes","In a pharmacy without a prescription","Partially","Not available","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Kyrgyzstan","2014","No","Not applicable","Not applicable","No","No","Not applicable","Not applicable","Yes","In a pharmacy without a prescription","No"
"Kyrgyzstan","2012","No","Not applicable","Not applicable","No","No","Not applicable","Not applicable","Yes","In a pharmacy without a prescription","No"
"Kyrgyzstan","2010","Yes","In a pharmacy without a prescription","No","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Kyrgyzstan","2007","Yes","In a pharmacy without a prescription","No","Not available","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Lao People's Democratic Republic","2014","No","Not applicable","Not applicable","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Lao People's Democratic Republic","2012","No","Not applicable","Not applicable","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Lao People's Democratic Republic","2010","No","Not applicable","Not applicable","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Lao People's Democratic Republic","2007","No","Not applicable","Not applicable","Not available","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Latvia","2014","Yes","In a pharmacy without a prescription","No","Yes","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Latvia","2012","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy with a prescription","Partially","Yes","In a pharmacy with a prescription","No"
"Latvia","2010","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy with a prescription","Partially","Yes","In a pharmacy with a prescription","No"
"Latvia","2007","Yes","In a pharmacy without a prescription","No","Not available","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Lebanon","2014","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Lebanon","2012","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Lebanon","2010","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Lebanon","2007","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Lesotho","2014","No","Not applicable","Not applicable","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Lesotho","2012","No","Not applicable","Not applicable","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Lesotho","2010","No","Not applicable","Not applicable","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Lesotho","2007","Yes","In a pharmacy without a prescription","No","Not available","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Liberia","2014","No","Not applicable","Not applicable","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Liberia","2012","No","Not applicable","Not applicable","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Liberia","2010","No","Not applicable","Not applicable","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Liberia","2007","No","Not applicable","Not applicable","Not available","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Libya","2014","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy without a prescription","No","Yes","In a pharmacy without a prescription","No"
"Libya","2012","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy without a prescription","No","Yes","In a pharmacy without a prescription","No"
"Libya","2010","Yes","In a pharmacy without a prescription","No","Not available","Yes","In a pharmacy without a prescription","No","Yes","In a pharmacy without a prescription","No"
"Libya","2007","No","Not applicable","Not applicable","Not available","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Lithuania","2014","Yes","In a pharmacy without a prescription","No","Yes","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Lithuania","2012","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Lithuania","2010","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Lithuania","2007","Yes","In a pharmacy without a prescription","No","Not available","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Luxembourg","2014","Yes","In a pharmacy without a prescription","Partially","Yes","Yes","In a pharmacy with a prescription","Partially","Yes","In a pharmacy with a prescription","Partially"
"Luxembourg","2012","Yes","In a pharmacy without a prescription","Partially","Yes","Yes","In a pharmacy with a prescription","Partially","Yes","In a pharmacy with a prescription","Partially"
"Luxembourg","2010","Yes","In a pharmacy without a prescription","No","Yes","Yes","In a pharmacy with a prescription","Partially","Yes","In a pharmacy with a prescription","Partially"
"Luxembourg","2007","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Partially"
"Madagascar","2014","Yes","In a pharmacy without a prescription","No","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Madagascar","2012","Yes","In a pharmacy without a prescription","No","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Madagascar","2010","Yes","In a pharmacy without a prescription","No","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Madagascar","2007","Yes","In a pharmacy without a prescription","No","Not available","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Malawi","2014","No","Not applicable","Not applicable","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Malawi","2012","No","Not applicable","Not applicable","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Malawi","2010","No","Not applicable","Not applicable","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Malawi","2007","No","Not applicable","Not applicable","Not available","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Malaysia","2014","Yes","In a pharmacy without a prescription","Fully","Yes","No","Not applicable","Not applicable","Yes","In a pharmacy with a prescription","Fully"
"Malaysia","2012","Yes","In a pharmacy without a prescription","Fully","Yes","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","Fully"
"Malaysia","2010","Yes","In a pharmacy without a prescription","Partially","Yes","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","Partially"
"Malaysia","2007","Yes","In a pharmacy without a prescription","No","Not available","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Maldives","2014","No","Not applicable","Not applicable","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Maldives","2012","No","Not applicable","Not applicable","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Maldives","2010","No","Not applicable","Not applicable","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
