"Country","Year","The sale of all smokeless tobacco products is completely banned","Law mandates that health warnings appear on smokeless tobacco packages","Percentage of principal display area mandated to be covered by health warnings - front and back of smokeless tobacco packaging","Percentage of principal display area mandated to be covered by health warnings - front of smokeless tobacco packaging","Percentage of principal display area mandated to be covered by health warnings - back of smokeless tobacco packaging","Does the law mandate specific health warnings on smokeless tobacco packaging?","How many health warnings are approved by the law for smokeless tobacco packaging?","Do health warnings appear on each smokeless tobacco package and any outside packaging and labelling used in the retail sale?","Do health warnings on smokeless tobacco packaging describe the harmful effects of tobacco use on health?","Does the law mandate font style, font size and colour of health warnings on smokeless tobacco packaging?","Are the health warnings on smokeless tobacco packaging rotating?","Are the health warnings on smokeless tobacco packaging written in the principal language(s) of the country?","Do the health warnings on smokeless tobacco packaging include a photograph or graphic?"
"Dominica","2007","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Dominican Republic","2014","No","Yes","Not specified","Not specified","Not specified","Yes","1","Yes","No","Yes","No","Yes","No"
"Dominican Republic","2012","No","Yes","Not specified","Not specified","Not specified","Yes","1","Yes","No","Yes","No","Yes","No"
"Dominican Republic","2010","No","Yes","Not specified","Not specified","Not specified","Yes","1","Yes","No","Yes","No","Yes","No"
"Dominican Republic","2007","No","Yes","Not specified","Not specified","Not specified","Yes","1","Yes","No","Yes","No","Yes","No"
"Ecuador","2014","No","Yes","60","60","60","Yes","6","Yes","Yes","Yes","Yes","Yes","Yes"
"Ecuador","2012","No","Yes","60","60","60","Yes","6","Yes","Yes","Yes","Yes","Yes","Yes"
"Ecuador","2010","No","Yes","40","40","40","Yes","3","Yes","Yes","Yes","No","Yes","No"
"Ecuador","2007","No","Yes","40","40","40","Yes","3","Yes","Yes","Yes","No","Yes","No"
"Egypt","2014","No","Yes","50","50","50","Yes","4","Yes","Yes","Yes","Yes","Yes","Yes"
"Egypt","2012","No","Yes","50","50","50","Yes","4","Yes","Yes","Yes","Yes","Yes","Yes"
"Egypt","2010","No","Yes","50","50","50","Yes","4","Yes","Yes","Yes","Yes","Yes","Yes"
"Egypt","2007","No","Yes","50","50","50","Yes","1","Yes","Yes","No","No","Yes","No"
"El Salvador","2014","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"El Salvador","2012","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"El Salvador","2010","No","Yes","Not specified","Not specified","Not specified","Yes","1","Yes","No","No","No","Yes","No"
"El Salvador","2007","No","Yes","Not specified","Not specified","Not specified","Yes","1","Yes","No","No","No","Yes","No"
"Equatorial Guinea","2014","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Equatorial Guinea","2012","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Equatorial Guinea","2010","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Equatorial Guinea","2007","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Eritrea","2014","No","Yes","30","30","30","No","0","Yes","Yes","No","Yes","No","No"
"Eritrea","2012","No","Yes","30","30","30","No","0","Yes","Yes","No","Yes","No","No"
"Eritrea","2010","No","Yes","30","30","30","No","5","Yes","Yes","No","Yes","No","No"
"Eritrea","2007","No","Yes","30","30","30","No","5","Yes","Yes","No","Yes","No","No"
"Estonia","2014","No","Yes","15","30","0","Yes","1","Yes","Yes","Yes","No","Yes","No"
"Estonia","2012","No","Yes","15","30","0","Yes","1","Yes","Yes","Yes","No","Yes","No"
"Estonia","2010","No","Yes","15","30","0","Yes","1","Yes","Yes","Yes","No","Yes","No"
"Estonia","2007","No","Yes","15","30","0","Yes","1","Yes","Yes","Yes","No","Yes","No"
"Eswatini","2014","No","Yes","50","50","50","No","0","Yes","No","No","No","No","No"
"Eswatini","2012","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Eswatini","2010","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Eswatini","2007","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Ethiopia","2014","No","Yes","30","30","30","No","0","Yes","Yes","No","No","Yes","No"
"Ethiopia","2012","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Ethiopia","2010","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Ethiopia","2007","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Fiji","2014","Yes","Sale of smokeless tobacco is banned in the country","Not specified","Not specified","Not specified","No","0","No","No","No","No","No","No"
"Fiji","2012","Yes","Sale of smokeless tobacco is banned in the country","Not specified","Not specified","Not specified","No","0","No","No","No","No","No","No"
"Fiji","2010","Yes","Sale of smokeless tobacco is banned in the country","Not specified","Not specified","Not specified","No","0","No","No","No","No","No","No"
"Fiji","2007","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Finland","2014","No","Yes","16","32","0","Yes","1","Yes","Yes","Yes","No","Yes","No"
"Finland","2012","No","Yes","16","32","0","Yes","1","Yes","Yes","Yes","No","Yes","No"
"Finland","2010","No","Yes","16","32","0","Yes","1","Yes","Yes","Yes","No","Yes","No"
"Finland","2007","No","Yes","16","32","0","Yes","1","Yes","Yes","Yes","No","Yes","No"
"France","2014","No","Yes","15","30","0","Yes","1","Yes","Yes","No","No","Yes","No"
"France","2012","No","Yes","15","30","0","Yes","1","Yes","Yes","No","No","Yes","No"
"France","2010","No","Yes","15","30","0","Yes","1","Yes","Yes","No","No","Yes","No"
"France","2007","No","Yes","15","30","0","Yes","1","Yes","Yes","No","No","Yes","No"
"Gabon","2014","No","Yes","62.5","60","65","Yes","1","No","Yes","No","No","Yes","No"
"Gabon","2012","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Gabon","2010","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Gabon","2007","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Gambia","2014","No","Yes","30","30","30","Yes","2","No","Yes","No","No","No","No"
"Gambia","2012","No","Yes","30","30","30","Yes","2","No","Yes","No","No","No","No"
"Gambia","2010","No","Yes","30","30","30","Yes","2","No","Yes","No","No","No","No"
"Gambia","2007","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Georgia","2014","No","Yes","30","30","30","Yes","12","Yes","Yes","Yes","Yes","Yes","No"
"Georgia","2012","No","Yes","30","30","30","Yes","12","Yes","Yes","Yes","Yes","Yes","No"
"Georgia","2010","No","Yes","30","30","30","Yes","12","Yes","Yes","Yes","Yes","Yes","No"
"Georgia","2007","No","Yes","35","30","40","Yes","15","Yes","Yes","No","No","Yes","No"
"Germany","2014","No","Yes","15","30","0","Yes","1","Yes","Yes","No","No","Yes","No"
"Germany","2012","No","Yes","15","30","0","Yes","1","Yes","Yes","No","No","Yes","No"
"Germany","2010","No","Yes","15","30","0","Yes","1","Yes","Yes","No","No","Yes","No"
"Germany","2007","No","Yes","15","30","0","Yes","1","Yes","Yes","No","No","Yes","No"
"Ghana","2014","No","Yes","50","50","50","Yes","12","Yes","Yes","No","Yes","Yes","No"
"Ghana","2012","No","Yes","50","50","50","Yes","12","Yes","Yes","No","Yes","Yes","No"
"Ghana","2010","No","Yes","Not specified","Not specified","Not specified","No","0","No","No","No","No","No","No"
"Ghana","2007","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Greece","2014","No","Yes","15","30","0","Yes","1","Yes","Yes","Yes","No","Yes","No"
"Greece","2012","No","Yes","15","30","0","Yes","1","Yes","Yes","Yes","No","Yes","No"
"Greece","2010","No","Yes","15","30","0","Yes","1","Yes","Yes","Yes","No","Yes","No"
"Greece","2007","No","Yes","15","30","0","Yes","1","Yes","Yes","Yes","No","Yes","No"
"Grenada","2014","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Grenada","2012","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Grenada","2010","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Grenada","2007","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Guatemala","2014","No","Yes","13","25","0","Yes","6","Yes","Yes","Yes","Yes","Yes","No"
"Guatemala","2012","No","Yes","13","25","0","Yes","6","Yes","Yes","Yes","Yes","Yes","No"
"Guatemala","2010","No","Yes","13","25","0","Yes","6","Yes","Yes","Yes","Yes","Yes","No"
"Guatemala","2007","No","Yes","13","25","0","Yes","6","Yes","Yes","Yes","Yes","Yes","No"
"Guinea","2014","No","Yes","30","30","30","Yes","1","Yes","No","No","No","Yes","No"
"Guinea","2012","No","Yes","30","30","30","Yes","1","Yes","No","No","No","Yes","No"
"Guinea","2010","No","Yes","Not specified","Not specified","Not specified","Yes","1","No","Yes","No","No","Yes","No"
"Guinea","2007","No","Yes","Not specified","Not specified","Not specified","Yes","1","No","Yes","No","No","Yes","No"
"Guinea-Bissau","2014","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Guinea-Bissau","2012","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Guinea-Bissau","2010","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Guinea-Bissau","2007","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Guyana","2014","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Guyana","2012","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Guyana","2010","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Guyana","2007","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Haiti","2014","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Haiti","2012","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Haiti","2010","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Haiti","2007","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Honduras","2014","No","Yes","50","50","50","No","0","Yes","No","Yes","Yes","Yes","Yes"
"Honduras","2012","No","Yes","50","50","50","No","0","Yes","No","Yes","Yes","Yes","Yes"
"Honduras","2010","No","Yes","80","80","80","No","0","Yes","No","Yes","Yes","Yes","Yes"
"Honduras","2007","No","Yes","20","Not specified","Not specified","Yes","1","Yes","No","No","No","Yes","No"
"Hungary","2014","No","Yes","35","30","40","Yes","1","Yes","Yes","Yes","No","Yes","No"
"Hungary","2012","No","Yes","35","30","40","Yes","1","Yes","Yes","Yes","No","Yes","No"
"Hungary","2010","No","Yes","15","30","0","Yes","1","Yes","Yes","Yes","No","Yes","No"
"Hungary","2007","No","Yes","15","30","0","Yes","1","Yes","Yes","Yes","No","Yes","No"
"Iceland","2014","No","Yes","15","30","0","Yes","1","Yes","Yes","Yes","No","Yes","No"
"Iceland","2012","No","Yes","15","30","0","Yes","1","Yes","Yes","Yes","No","Yes","No"
"Iceland","2010","No","Yes","15","30","0","Yes","1","Yes","Yes","Yes","No","Yes","No"
"Iceland","2007","No","Yes","15","30","0","Yes","1","Yes","Yes","Yes","No","Yes","No"
"India","2014","No","Yes","20","40","0","Yes","3","Yes","Yes","Yes","Yes","Yes","Yes"
"India","2012","No","Yes","20","40","0","Yes","3","Yes","Yes","Yes","Yes","Yes","Yes"
"India","2010","No","Yes","20","40","0","Yes","1","Yes","Yes","Yes","Yes","Yes","Yes"
"India","2007","No","Yes","25","50","0","Yes","3","Yes","Yes","Yes","Yes","Yes","Yes"
"Indonesia","2014","No","Yes","40","40","40","Yes","5","Yes","Yes","Yes","Yes","Yes","Yes"
"Indonesia","2012","No","Yes","40","40","40","No","5","Yes","No","Yes","Yes","No","No"
"Indonesia","2010","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Indonesia","2007","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Iran (Islamic Republic of)","2014","No","Yes","50","50","50","Yes","13","Yes","Yes","Yes","Yes","Yes","Yes"
"Iran (Islamic Republic of)","2012","No","Yes","50","50","50","Yes","13","Yes","Yes","Yes","Yes","Yes","Yes"
"Iran (Islamic Republic of)","2010","No","Yes","50","50","50","Yes","8","Yes","Yes","Yes","Yes","Yes","Yes"
"Iran (Islamic Republic of)","2007","No","Yes","50","50","50","No","0","Yes","No","No","No","No","No"
"Iraq","2014","No","Yes","30","30","30","No","0","Yes","No","No","Yes","Yes","Yes"
"Iraq","2012","No","Yes","Not specified","Not specified","Not specified","No","0","No","No","No","No","Yes","Yes"
"Iraq","2010","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Iraq","2007","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Ireland","2014","No","Yes","16","32","0","Yes","1","Yes","Yes","Yes","No","Yes","No"
"Ireland","2012","No","Yes","16","32","0","Yes","1","Yes","Yes","Yes","No","Yes","No"
"Ireland","2010","No","Yes","16","32","0","Yes","1","Yes","Yes","Yes","No","Yes","No"
"Ireland","2007","No","Yes","15","30","0","Yes","1","Yes","Yes","Yes","No","Yes","No"
"Israel","2014","No","Yes","30","30","30","Yes","13","Yes","Yes","Yes","Yes","Yes","No"
"Israel","2012","No","Yes","30","30","30","Yes","13","Yes","Yes","Yes","Yes","Yes","No"
"Israel","2010","No","Yes","30","30","30","Yes","13","Yes","Yes","Yes","Yes","Yes","No"
"Israel","2007","No","Yes","30","30","30","Yes","13","Yes","Yes","Yes","Yes","Yes","No"
"Italy","2014","No","Yes","15","30","0","Yes","1","Yes","Yes","Yes","No","Yes","No"
"Italy","2012","No","Yes","15","30","0","Yes","1","Yes","Yes","Yes","No","Yes","No"
"Italy","2010","No","Yes","15","30","0","Yes","1","Yes","Yes","Yes","No","Yes","No"
"Italy","2007","No","Yes","15","30","0","Yes","1","Yes","Yes","Yes","No","Yes","No"
"Jamaica","2014","No","Yes","60","60","60","Yes","16","Yes","Yes","Yes","Yes","Yes","Yes"
"Jamaica","2012","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Jamaica","2010","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Jamaica","2007","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Japan","2014","No","Yes","30","30","30","Yes","4","Yes","Yes","No","Yes","Yes","No"
"Japan","2012","No","Yes","30","30","30","Yes","4","Yes","Yes","No","Yes","Yes","No"
"Japan","2010","No","Yes","30","30","30","Yes","4","Yes","Yes","No","Yes","Yes","No"
"Japan","2007","No","Yes","30","30","30","Yes","4","Yes","Yes","No","Yes","Yes","No"
"Jordan","2014","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Jordan","2012","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Jordan","2010","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Jordan","2007","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Kazakhstan","2014","No","Yes","40","40","40","Yes","12","No","Yes","Yes","Yes","Yes","Yes"
"Kazakhstan","2012","No","Yes","40","40","40","Yes","12","No","Yes","Yes","Yes","Yes","Yes"
"Kazakhstan","2010","No","Yes","40","40","40","No","0","No","No","No","No","No","No"
"Kazakhstan","2007","No","Yes","30","30","30","No","0","No","No","No","No","No","No"
"Kenya","2014","No","Yes","40","30","50","Yes","3","Yes","Yes","Yes","Yes","Yes","Yes"
"Kenya","2012","No","Yes","40","30","50","Yes","3","Yes","Yes","Yes","Yes","Yes","No"
"Kenya","2010","No","Yes","40","30","50","Yes","3","Yes","Yes","Yes","Yes","Yes","No"
"Kenya","2007","No","Yes","40","30","50","Yes","3","Yes","Yes","Yes","Yes","Yes","No"
"Kiribati","2014","No","Yes","30","30","30","No","0","Yes","No","No","Yes","Yes","No"
"Kiribati","2012","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Kiribati","2010","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Kiribati","2007","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Kuwait","2014","No","Yes","50","50","50","No","0","No","No","Yes","No","Yes","Yes"
"Kuwait","2012","No","Yes","50","50","50","No","0","No","No","Yes","No","Yes","Yes"
"Kuwait","2010","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Kuwait","2007","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Kyrgyzstan","2014","No","Yes","40","40","40","Yes","12","Yes","Yes","Yes","Yes","Yes","Yes"
"Kyrgyzstan","2012","No","Yes","40","40","40","Yes","9","Yes","Yes","Yes","Yes","Yes","Yes"
"Kyrgyzstan","2010","No","Yes","40","40","40","Yes","9","Yes","Yes","Yes","Yes","Yes","Yes"
"Kyrgyzstan","2007","No","Yes","40","40","40","No","0","Yes","No","Yes","No","Yes","No"
"Lao People's Democratic Republic","2014","No","Yes","Not specified","Not specified","Not specified","No","0","No","No","No","No","No","No"
"Lao People's Democratic Republic","2012","No","Yes","Not specified","Not specified","Not specified","No","0","No","No","No","No","No","No"
"Lao People's Democratic Republic","2010","No","Yes","Not specified","Not specified","Not specified","No","0","No","No","No","No","No","No"
"Lao People's Democratic Republic","2007","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Latvia","2014","Yes","Sale of smokeless tobacco is banned in the country","Not specified","Not specified","Not specified","No","No","No","No","No","No","No","No"
"Latvia","2012","Yes","Sale of smokeless tobacco is banned in the country","Not specified","Not specified","Not specified","No","No","No","No","No","No","No","No"
"Latvia","2010","Yes","Sale of smokeless tobacco is banned in the country","Not specified","Not specified","Not specified","No","No","No","No","No","No","No","No"
"Latvia","2007","Yes","Sale of smokeless tobacco is banned in the country","Not specified","Not specified","Not specified","No","No","No","No","No","No","No","No"
"Lebanon","2014","No","Yes","40","40","40","Yes","12","Yes","Yes","Yes","Yes","Yes","No"
"Lebanon","2012","No","Yes","40","40","40","Yes","12","Yes","Yes","Yes","Yes","Yes","No"
"Lebanon","2010","No","Yes","15","15","15","Yes","1","Yes","Yes","No","No","Yes","No"
"Lebanon","2007","No","Yes","15","15","15","Yes","1","Yes","Yes","No","No","Yes","No"
"Lesotho","2014","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Lesotho","2012","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Lesotho","2010","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Lesotho","2007","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Liberia","2014","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Liberia","2012","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Liberia","2010","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Liberia","2007","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Libya","2014","No","Yes","25","50","0","Yes","1","Yes","Yes","No","Yes","Yes","No"
"Libya","2012","No","Yes","25","50","0","Yes","1","Yes","Yes","No","Yes","Yes","No"
"Libya","2010","No","Yes","25","50","0","Yes","1","Yes","Yes","No","Yes","Yes","No"
"Libya","2007","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Lithuania","2014","Yes","Sale of smokeless tobacco is banned in the country","15","30","0","Yes","1","Yes","Yes","Yes","No","Yes","No"
"Lithuania","2012","Yes","Sale of smokeless tobacco is banned in the country","15","30","0","Yes","1","Yes","Yes","Yes","No","Yes","No"
"Lithuania","2010","Yes","Sale of smokeless tobacco is banned in the country","15","30","0","Yes","1","Yes","Yes","Yes","No","Yes","No"
"Lithuania","2007","Yes","Sale of smokeless tobacco is banned in the country","15","30","0","Yes","1","Yes","Yes","Yes","No","Yes","No"
"Luxembourg","2014","No","Yes","16","32","0","Yes","1","Yes","Yes","No","No","Yes","No"
"Luxembourg","2012","No","Yes","16","32","0","Yes","1","Yes","Yes","No","No","Yes","No"
"Luxembourg","2010","No","Yes","16","32","0","Yes","1","Yes","Yes","No","No","Yes","No"
"Luxembourg","2007","No","Yes","16","32","0","Yes","1","Yes","Yes","No","No","Yes","No"
"Madagascar","2014","No","Yes","50","50","50","Yes","4","Yes","Yes","Yes","Yes","Yes","No"
"Madagascar","2012","No","Yes","50","50","50","Yes","4","Yes","Yes","Yes","Yes","Yes","No"
"Madagascar","2010","No","Yes","50","50","50","Yes","1","Yes","No","No","No","Yes","No"
"Madagascar","2007","No","Yes","25","50","0","Yes","1","Yes","No","No","No","Yes","No"
"Malawi","2014","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Malawi","2012","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Malawi","2010","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Malawi","2007","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Malaysia","2014","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Malaysia","2012","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Malaysia","2010","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Malaysia","2007","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Maldives","2014","No","Yes","30","30","30","Yes","5","Yes","Yes","No","Yes","Yes","No"
"Maldives","2012","No","Yes","30","30","30","Yes","5","Yes","Yes","No","Yes","Yes","No"
"Maldives","2010","No","Yes","30","30","30","Yes","5","Yes","Yes","No","Yes","Yes","No"
"Maldives","2007","No","Yes","30","30","30","Yes","5","Yes","Yes","No","Yes","Yes","No"
"Mali","2014","No","Yes","30","30","30","Yes","1","Yes","No","Yes","No","Yes","No"
"Mali","2012","No","Yes","30","30","30","Yes","1","Yes","No","Yes","No","Yes","No"
"Mali","2010","No","Yes","Not specified","Not specified","Not specified","No","1","Yes","No","No","No","Yes","No"
"Mali","2007","No","Yes","Not specified","Not specified","Not specified","Yes","1","No","No","No","No","Yes","No"
"Malta","2014","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Malta","2012","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Malta","2010","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Malta","2007","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Marshall Islands","2014","No","Yes","Not specified","Not specified","Not specified","No","0","Yes","Yes","No","No","No","No"
