,"Name of survey of adults","Representativeness of survey of adults","Adult survey age range","Adult indicator 1 definition","Adult indicator 1 rate","Adult indicator 1 rate","Adult indicator 1 rate","Adult indicator 2 definition","Adult indicator 2 rate","Adult indicator 2 rate","Adult indicator 2 rate"
"United Republic of Tanzania","Tanzania STEPS","National","25-64","Current tobacco smoking","14.1","26.0","2.9","Daily tobacco smoking","11.8","22.2","2.0"
"United States of America","National Health Interview Survey (NHIS)","National","18+","Current cigarette smoking","17.8","20.5","15.3","Not available","Not available","Not available","Not available"
"Uruguay","Global Adult Tobacco Survey","National","15+","Current tobacco smoking","25.0","30.7","19.8","Daily tobacco smoking","20.4","24.8","16.4"
"Uzbekistan","Social Research Center population survey of tobacco consumption practices","National","15+","Current cigarette smoking","10.5","20.0","1.1","Daily cigarette smoking","8.2","15.5","1.0"
"Vanuatu","STEPS","National","25-64","Current tobacco smoking","52.5","62.3","20.2","Daily tobacco smoking","27.5","33.5","7.8"
"Venezuela (Bolivarian Republic of)","Estudio Nacional de Drogas en Poblacion General","National","18-65","Current tobacco use","21.5","28.9","14.4","Daily cigarette smoking","13.1","17.0","9.4"
"Viet Nam","Global Adult Tobacco Survey","National","15+","Current tobacco smoking","23.8","47.4","1.4","Daily tobacco smoking","19.5","38.7","1.2"
"Yemen","National Health and Demographic Survey","National","10+","Current tobacco smoking","13.3","20.7","6.0","Not available","Not available","Not available","Not available"
"Zambia","Zambia Demographic and Health Survey","National","15-59","Current tobacco use","Not available","24.3","1.8","Daily cigarette smoking","Not available","22.2","0.4"
"Zimbabwe","Zimbabwe Demographic and Health Survey","National","15-54","Current tobacco use","Not available","22.9","0.5","Daily cigarette smoking","Not available","20.2","Not available"
