Country,TITLE OF SURVEY,Year,REPRESENTATIVENESS,AGE GROUP (YEARS),CURRENT TOBACCO USE (M),CURRENT TOBACCO USE (F),CURRENT TOBACCO USE (B),DAILY TOBACCO USE (M),DAILY TOBACCO USE (F),DAILY TOBACCO USE (B),CURRENT TOBACCO SMOKING (M),CURRENT TOBACCO SMOKING (F),CURRENT TOBACCO SMOKING (B),DAILY TOBACCO SMOKING (M),DAILY TOBACCO SMOKING (F),DAILY TOBACCO SMOKING (B),CURRENT CIGARETTE SMOKING (M),CURRENT CIGARETTE SMOKING (F),CURRENT CIGARETTE SMOKING (B),DAILY CIGARETTE SMOKING (M),DAILY CIGARETTE SMOKING (F),DAILY CIGARETTE SMOKING (B)
Nigeria, Global Adult Tobacco Survey: Nigeria,2012,National,15+,10.0,1.1,5.6,. . .,. . .,. . .,7.3,0.4,3.9,5.6,0.3,2.9,7.2,0.3,3.7,. . .,. . .,. . .
Niue,STEPS Survey,2011,National,15+,22.9,13.2,17.9,15.8,7.6,11.6,22.6,13.0,17.7,15.8,7.6,11.6,. . .,. . .,. . .,. . .,. . .,. . .
North Macedonia,General population survey on drugs in the Republic of Macedonia,2017,National,15-64,. . .,. . .,. . .,. . .,. . .,. . .,54.1,33.3,46.0,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Norway,Statistics Norway Smoking Habits Survey (Reise- og ferieundersøkelse),2017,National,16-74,. . .,. . .,. . .,. . .,. . .,. . .,22.0,16.0,19.0,12.0,10.0,11.0,. . .,. . .,. . .,. . .,. . .,. . .
Oman,STEPS Survey,2017,National,15+,15.5,0.5,8.2,12.9,0.4,6.8,14.7,0.4,7.7,12.3,0.3,6.5,. . .,. . .,. . .,. . .,. . .,. . .
Pakistan,National Diabetes Survey of Pakistan,2016-17,National,20+,26.1,5.4,14.5,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Palau,Palau Hybrid Survey,2016,National,18-97,. . .,. . .,. . .,. . .,. . .,. . .,30.9,9.7,20.4,22.0,5.3,13.7,. . .,. . .,. . .,. . .,. . .,. . .
Panama,Global Adult Tobacco Survey,2013,National,15+,9.7,3.1,6.4,. . .,. . .,. . .,9.4,2.8,6.1,4.4,1.2,2.8,8.9,2.7,5.8,3.6,1.2,2.4
Papua New Guinea,Household Income & Expenditure Survey (HIES),2009-10,National,0+,. . .,. . .,. . .,. . .,. . .,. . .,37.3,14.5,26.3,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Paraguay,Encuesta Nacional de Factores de Riesgo de Paraguay (STEPS),2011,National,15-74,. . .,. . .,. . .,. . .,. . .,. . .,22.8,6.1,14.5,17.4,4.2,10.9,. . .,. . .,. . .,17.2,3.7,10.6
Peru,Encuesta Demográfica y de Salud Familiar,2017,National,15+,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,2.9,0.6,1.7
Philippines,Global Adult Tobacco Survey,2015,National,15+,41.9,5.8,23.8,. . .,. . .,. . .,40.3,5.1,22.7,33.9,3.6,18.7,40.1,4.9,22.5,33.9,3.6,18.5
Poland,Nation-wide survey conducted by Chief Sanitary Inspectorate and Kantar Public Poland,2017,National,15+,30.0,21.0,. . .,29.0,20.0,. . .,30.0,21.0,25.0,29.0,20.0,24.0,. . .,. . .,. . .,. . .,. . .,. . .
Portugal,Inquérito Nacional ao Consumo de Substâncias Psicoactivas na População Portuguesa ,2016-17,National,15-74,. . .,. . .,. . .,. . .,. . .,. . .,34.4,22.0,28.0,32.2,20.8,26.3,. . .,. . .,. . .,. . .,. . .,. . .
Qatar,Global Adult Tobacco Survey,2013,National,15+,22.0,0.6,10.9,. . .,. . .,. . .,21.3,0.6,10.5,18.2,0.1,8.8,18.5,0.3,9.0,. . .,. . .,. . .
Republic of Korea,Korea National Health and Nutrition Examination Survey (KNHANES),2017,National,19+,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,37.0,5.2,21.1,32.7,3.6,18.1
Republic of Moldova,Moldova STEPS,2013,National,18-69,43.7,5.7,25.4,40.6,4.6,23.3,43.6,5.6,25.3,40.6,4.6,23.3,43.1,5.6,25.0,40.1,4.6,23.0
Romania,Eurobarometer - Attitudes of Europeans towards tobacco and electronic cigarettes,2017,National,15+,. . .,. . .,. . .,. . .,. . .,27.0,38.0,19.0,28.0,. . .,. . .,27.0,. . .,. . .,. . .,. . .,. . .,. . .
Russian Federation,Russian Public Opinion Research Centre (ВЦИОМ) survey,2017,National,18+,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,47.0,15.0,29.0,. . .,. . .,27.0
Rwanda,Demographic and Health Survey,2014-15,National,15-49,10.2,2.2,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,9.1,0.4,. . .,. . .,. . .,. . .
Saint Kitts and Nevis,STEPS Survey,2007-08,National,25-64,16.0,1.0,8.5,11.1,0.6,5.9,16.2,1.1,8.7,11.4,0.7,6.1,. . .,. . .,. . .,7.4,0.6,4.0
Saint Lucia,Saint Lucia STEPS Survey,2012,National,25-64,25.5,4.0,14.7,. . .,. . .,. . .,25.3,4.0,14.5,16.2,2.5,9.3,. . .,. . .,. . .,. . .,. . .,. . .
Saint Vincent and the Grenadines,National Health and Nutrition Survey,2013-14,National,18-69,. . .,. . .,. . .,. . .,. . .,. . .,21.9,2.5,12.2,12.7,1.3,6.9,. . .,. . .,. . .,. . .,. . .,. . .
Samoa,Samoa STEPS,2013,National,18-64,. . .,. . .,. . .,. . .,. . .,. . .,36.5,13.7,25.6,33.4,12.2,23.3,. . .,. . .,25.6,. . .,. . .,23.3
San Marino,Unnamed sample survey,2013,National,15+,. . .,. . .,. . .,. . .,. . .,. . .,16.1,14.4,15.2,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Sao Tome and Principe,Sao Tomé et Principe Enquête STEPS,2008,National,25-64,. . .,. . .,. . .,. . .,. . .,. . .,9.7,1.7,5.5,6.5,0.8,3.5,. . .,. . .,. . .,6.3,0.8,3.4
Saudi Arabia,Saudi Health Information Survey,2014,National,15-65,. . .,. . .,. . .,. . .,. . .,. . .,23.7,1.5,12.2,21.5,1.1,11.4,. . .,. . .,. . .,. . .,. . .,. . .
Senegal,Enquête Démographique et de Santé à Indicateurs Multiples (EDS-MICS),2017,National,15-59 (men) 15-49 (women),13.1,0.9,. . .,. . .,. . .,. . .,13.1,0.7,. . .,. . .,. . .,. . .,12.8,0.7,. . .,. . .,. . .,. . .
Serbia,"Survey of the effects and attitudes related to the Law on protection of the citizens from exposure to tobacco smoke, December 2017, based on the nationally representative sample of adults (N = 1045)",2017,National,18+,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,37.1,37.7,37.3,32.5,32.2,32.2
Seychelles,The Seychelles Heart Study IV,2013,National,25-64,34.4,8.0,. . .,28.5,5.3,. . .,34.2,7.8,. . .,28.4,5.2,. . .,34.1,7.7,20.9,28.3,5.1,16.7
Sierra Leone,Demographic and Health Survey,2013,National,15-59 (men) 15-49 (women),28.6,8.2,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,28.0,4.4,. . .,. . .,. . .,. . .
Singapore,National Population Health Survey,2016-17,National,18-69,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,21.1,3.4,12.0,. . .,. . .,. . .,. . .,. . .,. . .
Slovakia,Eurobarometer - Attitudes of Europeans towards tobacco and electronic cigarettes,2017,National,15+,. . .,. . .,. . .,. . .,. . .,24.0,34.0,19.0,26.0,. . .,. . .,24.0,. . .,. . .,. . .,. . .,. . .,. . .
Slovenia,European Health Interview Survey (GATS questionnaire),2014,National,15+,. . .,. . .,. . .,. . .,. . .,. . .,27.5,21.2,24.3,21.8,16.0,18.9,. . .,. . .,. . .,20.6,15.6,18.0
Solomon Islands,Demographic and Health Survey,2015,National,15-49,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,49.8,17.0,. . .,. . .,. . .,. . .
Somalia,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
South Africa,Demographic and Health Survey,2016,National,15+,. . .,. . .,. . .,. . .,. . .,. . .,37.0,6.8,21.9,30.4,6.3,18.4,. . .,. . .,. . .,. . .,. . .,. . .
South Sudan,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Spain,Encuesta Nacional de Salud,2016-17,National,15+,. . .,. . .,. . .,. . .,. . .,. . .,28.2,20.8,24.4,25.6,18.8,22.1,. . .,. . .,. . .,. . .,. . .,. . .
Sri Lanka,Sri Lanka STEPS Survey,2014,National,18-69,45.7,5.3,25.8,35.3,4.1,20.0,29.4,0.1,15.0,19.9,0.1,10.2,. . .,. . .,. . .,. . .,. . .,. . .
Sudan,STEPS Survey,2016,National,18-69,27.9,0.8,15.6,24.0,0.5,13.3,17.1,0.7,9.6,13.8,0.5,7.7,15.2,0.4,8.4,12.6,0.3,6.9
Suriname,STEPS Survey,2013,National,25-65,. . .,. . .,. . .,. . .,. . .,. . .,34.0,6.5,20.1,25.5,4.4,14.9,34.0,6.5,20.0,. . .,. . .,. . .
Sweden,Nationella folkhälsoenkäten (National Survey on Public Health),2018,National,16-84,31.0,18.0,24.0,24.0,11.0,18.0,14.0,13.0,13.0,7.0,7.0,7.0,. . .,. . .,. . .,. . .,. . .,. . .
Switzerland,Enquête suisse sur la santé,2017,National,15+,. . .,. . .,. . .,. . .,. . .,. . .,31.0,23.3,27.1,21.5,16.8,19.1,. . .,. . .,. . .,. . .,. . .,. . .
Syrian Arab Republic,National Survey on non-communicable diseases and factors affecting their development,2002-03,National,15-65,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,48.0,8.9,24.7,. . .,. . .,. . .,. . .,. . .,. . .
Tajikistan,Global Adult Tobacco Survey,2016,National,15+,. . .,. . .,. . .,. . .,. . .,. . .,14.7,0.3,6.3,8.9,0.2,6.2,. . .,. . .,. . .,. . .,. . .,. . .
Thailand,The Smoking and Drinking Behaviour Survey ,2017,National,15+,38.3,4.3,20.7,33.8,3.6,18.2,37.7,1.7,19.1,33.4,1.4,16.8,37.4,1.6,18.9,33.3,1.4,16.8
Timor-Leste,Demographic and Health Survey,2016,National,15-59,53.7,4.1,48.6,40.5,. . .,35.0,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Togo,Demographic and Health Survey,2013-14,National,15-59 (men) 15-49 (women),11.9,0.7,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,9.0,0.1,. . .,. . .,. . .,. . .
Tonga,Tonga STEPS,2017,National,18-69,. . .,. . .,. . .,. . .,. . .,. . .,40.0,15.9,24.5,37.8,14.5,22.8,. . .,. . .,. . .,. . .,. . .,. . .
Trinidad and Tobago,Pan American STEPS Noncommunicable Diseases and Risk Factors Survey,2011,National,15-64,33.5,9.6,21.2,29.1,7.8,18.1,33.5,9.4,21.1,29.1,7.7,18.0,. . .,. . .,. . .,27.8,7.4,17.2
Tunisia,"Enquête nationale ""THES"", Institut National de Santé Publique",2016,National,15+,. . .,. . .,. . .,. . .,. . .,. . .,46.3,2.0,23.8,46.2,1.9,22.7,. . .,. . .,. . .,. . .,. . .,. . .
Turkey,STEPS Survey,2017,National,15+,43.6,19.7,31.6,. . .,. . .,. . .,43.4,19.7,31.5,40.4,18.2,29.2,. . .,. . .,. . .,. . .,. . .,. . .
Turkmenistan,Turkmenistan STEPS,2018,National,18-69,7.0,0.2,3.6,4.9,0.1,2.6,6.6,0.2,3.4,4.7,0.1,2.5,6.4,0.1,3.3,4.7,0.1,2.5
Tuvalu,STEPS Survey,2015,National,18-69,. . .,. . .,. . .,. . .,. . .,. . .,48.6,22.4,35.0,46.9,20.0,32.9,. . .,. . .,. . .,. . .,. . .,. . .
Uganda,Demographic and Health Survey,2016,National,15-54 (men) 15-49 (women),. . .,. . .,. . .,. . .,. . .,. . .,10.1,0.8,. . .,7.7,. . .,. . .,9.8,0.7,. . .,. . .,. . .,. . .
Ukraine,Global Adult Tobacco Survey,2017,National,15+,40.1,8.9,23.0,. . .,. . .,. . .,39.7,8.8,22.8,35.9,7.0,20.1,39.6,8.8,22.8,. . .,. . .,. . .
United Arab Emirates,STEPS Survey,2017,National,18+,. . .,. . .,. . .,. . .,. . .,. . .,15.7,2.4,9.1,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
United Kingdom of Great Britain and Northern Ireland,"Opinions and Lifestyle Survey, Adult Smoking Habits in Great Britain",2017,National,16+,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,17.0,13.3,15.1,. . .,. . .,. . .
United Republic of Tanzania,Demographic and Health Survey,2015-16,National,15-49,. . .,. . .,. . .,. . .,. . .,. . .,13.6,0.6,. . .,11.3,. . .,. . .,13.4,. . .,. . .,. . .,. . .,. . .
United States of America,National Survey on Drug Use and Health (NSDUH),2016,National,15+,30.6,18.9,24.6,. . .,. . .,. . .,26.9,18.7,22.6,. . .,. . .,. . .,22.2,17.8,19.9,12.3,10.9,11.5
Uruguay,Global Adult Tobacco Survey,2016-17,National,15+,25.7,18.1,21.7,21.6,15.3,. . .,25.6,18.0,21.6,21.5,15.3,18.3,25.2,18.0,21.4,21.3,15.3,18.1
Uzbekistan,Uzbekistan STEPS Survey,2014,National,18-64,42.4,1.5,22.4,33.4,1.1,17.6,26.8,1.4,14.4,16.6,0.9,9.0,21.8,0.9,11.4,14.1,0.9,7.5
Vanuatu,Vanuatu NCD Risk Factors STEPS Survey,2011,National,25-64,. . .,. . .,. . .,. . .,. . .,. . .,45.8,4.0,23.7,24.6,1.6,12.4,. . .,. . .,. . .,. . .,. . .,. . .
Venezuela (Bolivarian Republic of),Estudio Nacional de Drogas en Población General,2011,National,18-65,28.9,14.4,21.5,18.8,9.3,14.0,. . .,. . .,. . .,. . .,. . .,. . .,25.2,13.9,19.4,17.0,9.4,13.1
Viet Nam,Global Adult Tobacco Survey,2015,National,15+,46.1,3.1,24.9,. . .,. . .,. . .,45.3,1.1,22.5,38.7,0.9,19.2,36.7,0.8,18.2,30.7,0.6,15.2
West Bank and Gaza Strip,Occupied Palestinian Territories STEPS,2011,National,15-64,. . .,. . .,. . .,. . .,. . .,. . .,37.6,2.6,20.2,36.2,2.2,19.3,. . .,. . .,. . .,. . .,. . .,. . .
Yemen,Demographic and Health Survey,2013,National,10+,25.8,7.4,16.4,22.7,5.4,13.9,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Zambia,STEPS Survey,2017,National,18-69,24.0,7.8,15.8,17.7,4.0,10.7,23.0,2.0,12.3,17.1,1.3,9.0,19.3,0.8,9.7,15.0,0.5,7.5
Zimbabwe,Demographic and Health Survey,2015,National,15-54 (men) 15-49 (women),. . .,. . .,. . .,. . .,. . .,. . .,17.7,. . .,. . .,12.7,. . .,. . .,17.4,0.3,. . .,. . .,. . .,. . .
