Country,TITLE OF SURVEY,Year,REPRESENTATIVENESS,AGE GROUP (YEARS),CURRENT SMOKELESS TOBACCO USE PREVALENCE (%) (M),CURRENT SMOKELESS TOBACCO USE PREVALENCE (%) (F),CURRENT SMOKELESS TOBACCO USE PREVALENCE (%)(B),DAILY SMOKELESS TOBACCO USE PREVALENCE (%))(M),DAILY SMOKELESS TOBACCO USE PREVALENCE (%)(F),DAILY SMOKELESS TOBACCO USE PREVALENCE (%) (B),CURRENT E-CIGARETTE USE PREVALENCE (%) (M),CURRENT E-CIGARETTE USE PREVALENCE (%)) (F),CURRENT E-CIGARETTE USE PREVALENCE (%)(B),DAILY E-CIGARETTE USE PREVALENCE (%) (M),DAILY E-CIGARETTE USE PREVALENCE (%) (F),DAILY E-CIGARETTE USE PREVALENCE (%) (B)
Tonga,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Trinidad and Tobago,Global Youth Tobacco Survey,2017,National,13-15,5,3.2,4.1,. . .,. . .,. . .,21.7,12.9,17.2,. . .,. . .,. . .
Tunisia,Global Youth Tobacco Survey,2017,National,13-15,3.8,2,2.9,. . .,. . .,. . .,7.4,2.3,4.9,. . .,. . .,. . .
Turkey,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Turkmenistan,Global Youth Tobacco Survey,2015,National,13-15,0.2,0.2,0.2,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Tuvalu,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Uganda,Global Youth Tobacco Survey,2018,National,13-15,7.1,6,6.5,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Ukraine,Global Youth Tobacco Survey,2017,National,13-15,3.1,3.2,3.1,. . .,. . .,. . .,22.6,14,18.4,. . .,. . .,. . .
United Arab Emirates,Global Youth Tobacco Survey,2013,National,13-15,4.1,2.6,3.4,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
United Kingdom of Great Britain and Northern Ireland,"Smoking, Drinking and Drug Use Among Young People in England (England)",2016,Subnational,11-15,. . .,. . .,. . .,. . .,. . .,. . .,7,5,6,. . .,. . .,. . .
United Republic of Tanzania,Global Youth Tobacco Survey,2016,National,13-15,2.9,0.9,2.1,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
United States of America,National Youth Tobacco Survey,2018,National,Middle-school,2.7,0.9,1.8,. . .,. . .,. . .,5.1,4.8,4.9,. . .,. . .,. . .
Uruguay,Global Youth Tobacco Survey,2014,National,13-15,4,3.1,3.5,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Uzbekistan,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Vanuatu,Global Youth Tobacco Survey,2017,National,13-15,5.9,4.6,5.2,. . .,. . .,. . .,7,4.5,5.7,. . .,. . .,. . .
Venezuela (Bolivarian Republic of),Global Youth Tobacco Survey,2010,National,13-15,6.9,2.6,5.1,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Viet Nam,Global Youth Tobacco Survey,2014,National,13-15,1,0.4,0.7,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
West Bank and Gaza Strip,Global Youth Tobacco Survey (West Bank),2016,Subnational,13-15,8.4,3.5,6,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Yemen,Global Youth Tobacco Survey,2014,National,13-15,6.7,2.6,5.1,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Zambia,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Zimbabwe,Global Youth Tobacco Survey,2014,National,13-15,6.5,4.6,5.6,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
