Country,TITLE OF SURVEY,Year,REPRESENTATIVENESS,AGE GROUP (YEARS),CURRENT SMOKELESS TOBACCO USE PREVALENCE (%) (M),CURRENT SMOKELESS TOBACCO USE PREVALENCE (%) (F),CURRENT SMOKELESS TOBACCO USE PREVALENCE (%)(B),DAILY SMOKELESS TOBACCO USE PREVALENCE (%))(M),DAILY SMOKELESS TOBACCO USE PREVALENCE (%)(F),DAILY SMOKELESS TOBACCO USE PREVALENCE (%) (B),CURRENT E-CIGARETTE USE PREVALENCE (%) (M),CURRENT E-CIGARETTE USE PREVALENCE (%)) (F),CURRENT E-CIGARETTE USE PREVALENCE (%)(B),DAILY E-CIGARETTE USE PREVALENCE (%) (M),DAILY E-CIGARETTE USE PREVALENCE (%) (F),DAILY E-CIGARETTE USE PREVALENCE (%) (B)
Syrian Arab Republic,National survey on tobacco use,1999,National,15+,0.0,0.0,0.0,0.0,0.0,0.0,. . .,. . .,. . .,. . .,. . .,. . .
Tajikistan,Global Adult Tobacco Survey,2016,National,15+,. . .,. . .,12.5,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Thailand,The Smoking and Drinking Behaviour Survey ,2017,National,15+,1.5,2.7,2.1,1.2,2.3,1.8,. . .,. . .,. . .,. . .,. . .,. . .
Timor-Leste,Demographic and Health Survey,2016,National,15-59,20.9,0.2,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Togo,Enquête STEPS au Togo sur les facteurs de risque des maladies non transmissibles,2010-11,National,15-64,5.1,2.2,3.6,4.0,1.4,2.6,. . .,. . .,. . .,. . .,. . .,. . .
Tonga,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Trinidad and Tobago,Pan American STEPS Noncommunicable Diseases and Risk Factors Survey,2011,National,15-64,0.5,0.3,0.4,0.0,0.2,0.1,. . .,. . .,. . .,. . .,. . .,. . .
Tunisia,Enquête nationale morbidité et recours aux soins (TAHINA),2005-06,National,35-70,8.6,2.2,5.4,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Turkey,STEPS Survey,2017,National,15+,0.6,0.1,0.3,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Turkmenistan,Turkmenistan STEPS,2018,National,18-69,0.4,0.0,0.2,0.2,0.0,0.1,. . .,. . .,. . .,. . .,. . .,. . .
Tuvalu,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Uganda,Uganda NCD Risk Factors Survey,2014,National,18-69,4.6,2.9,3.7,3.3,2.4,2.8,. . .,. . .,. . .,. . .,. . .,. . .
Ukraine,Global Adult Tobacco Survey,2017,National,15+,0.4,0.0,0.2,. . .,. . .,. . .,2.5,1.0,1.7,. . .,. . .,. . .
United Arab Emirates,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
United Kingdom of Great Britain and Northern Ireland,"Opinions and Lifestyle Survey, Adult Smoking Habits in Great Britain",2017,National,16+,. . .,. . .,. . .,. . .,. . .,. . .,6.5,4.6,5.5,. . .,. . .,3.9
United Republic of Tanzania,Tanzania STEPS,2012,National,25-64,2.9,2.2,2.5,2.3,2.0,2.1,. . .,. . .,. . .,. . .,. . .,. . .
United States of America,National Survey on Drug Use and Health (NSDUH),2016,National,15+,6.5,0.5,3.4,3.2,0.1,1.6,. . .,. . .,. . .,. . .,. . .,. . .
Uruguay,Global Adult Tobacco Survey,2016-17,National,15+,0.3,0.0,0.1,0.2,0.0,0.1,0.3,0.2,0.2,. . .,. . .,. . .
Uzbekistan,Uzbekistan STEPS Survey,2014,National,18-64,23.2,0.2,12.0,20.7,0.2,10.7,. . .,. . .,. . .,. . .,. . .,. . .
Vanuatu,Vanuatu NCD Risk Factors STEPS Survey,2011,National,25-64,1.8,0.2,0.9,0.1,0.0,0.0,. . .,. . .,. . .,. . .,. . .,. . .
Venezuela (Bolivarian Republic of),Estudio Nacional de Drogas en Población General,2011,National,18-65,6.2,0.9,3.5,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Viet Nam,Global Adult Tobacco Survey,2015,National,15+,0.8,2.0,1.4,0.5,1.6,1.0,0.4,0.1,0.2,. . .,. . .,. . .
West Bank and Gaza Strip,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Yemen,Demographic and Health Survey,2013,National,10+,17.0,5.9,11.3,15.9,5.3,10.5,. . .,. . .,. . .,. . .,. . .,. . .
Zambia,STEPS Survey,2017,National,18-69,2.2,6.8,4.5,0.9,3.2,2.1,. . .,. . .,. . .,. . .,. . .,. . .
Zimbabwe,Demographic and Health Survey,2011,National,15-54 (men) 15-49 (women),1.6,0.4,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
