COUNTRY,TITLE OF SURVEY,YEAR,REPRESENTATIVENESS,AGE GROUP (YEARS),CURRENT TOBACCO USE (M),CURRENT TOBACCO USE (F),CURRENT TOBACCO USE (B),DAILY TOBACCO USE (M),DAILY TOBACCO USE (F),DAILY TOBACCO USE (B),CURRENT TOBACCO SMOKING (M),CURRENT TOBACCO SMOKING (F),CURRENT TOBACCO SMOKING (B),DAILY TOBACCO SMOKING (M),DAILY TOBACCO SMOKING (F),DAILY TOBACCO SMOKING (B),CURRENT CIGARETTE SMOKING (M),CURRENT CIGARETTE SMOKING (F),CURRENT CIGARETTE SMOKING (B),DAILY CIGARETTE SMOKING (M),DAILY CIGARETTE SMOKING (F),DAILY CIGARETTE SMOKING (B)
Panama,Global Youth Tobacco Survey,2017,National,13-15,7.9,7.4,7.8,. . .,. . .,. . .,6.2,5.4,5.9,. . .,. . .,. . .,4.2,3.5,3.9,. . .,. . .,. . .
Papua New Guinea,Global Youth Tobacco Survey,2016,National,13-15,40.1,28.3,33.3,. . .,. . .,. . .,34.9,18.2,25.4,. . .,. . .,. . .,29.9,13.6,20.7,. . .,. . .,. . .
Paraguay,Global Youth Tobacco Survey,2014,National,13-15,7.4,6.6,7,. . .,. . .,. . .,5.9,5.7,5.8,. . .,. . .,. . .,3.9,3.8,3.9,. . .,. . .,. . .
Peru,Global Youth Tobacco Survey,2014,National,13-15,10.9,8.4,9.7,. . .,. . .,. . .,10.5,7.4,9,. . .,. . .,. . .,9.2,6.2,7.7,. . .,. . .,. . .
Philippines,Global Youth Tobacco Survey,2015,National,13-15,22.2,10.4,16,. . .,. . .,. . .,20.5,9.1,14.5,. . .,. . .,. . .,17.6,7,12,. . .,. . .,. . .
Poland,Global Youth Tobacco Survey,2016,National,13-15,25.6,19.7,22.6,. . .,. . .,. . .,21.9,18.2,20,. . .,. . .,. . .,15.6,14.9,15.3,. . .,. . .,. . .
Portugal,European School Survey Project on Alcohol and Other Drugs (ESPAD),2015,National,15-15,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,14.5,14.8,14.6,3.8,2.6,3.2
Qatar,Global Youth Tobacco Survey,2013,National,13-15,22.8,8.8,15.7,. . .,. . .,. . .,18.4,6.2,12.3,. . .,. . .,. . .,14.9,4.7,9.8,. . .,. . .,. . .
Republic of Korea,Korea Youth Risk Behavior Web-based Survey,2018,National,13-18,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,9.4,3.7,6.7,4.9,1.4,3.2
Republic of Moldova,Global Youth Tobacco Survey,2013,National,13-15,14.9,5.8,10.4,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,12.7,3.8,8.3,. . .,. . .,. . .
Romania,Global Youth Tobacco Survey,2017,National,13-15,16.4,12.5,14.6,. . .,. . .,. . .,16.4,12.5,14.6,. . .,. . .,. . .,9.8,7.3,8.6,. . .,. . .,. . .
Russian Federation,Global Youth Tobacco Survey,2015,National,13-15,17,13.3,15.1,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,10.6,8,9.3,. . .,. . .,. . .
Rwanda,Global Youth Tobacco Survey,2008,National,13-15,13.3,9.5,11.5,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,3,0.9,1.8,. . .,. . .,. . .
Saint Kitts and Nevis,Global Youth Tobacco Survey,2010,National,13-15,10.4,7.8,9.2,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,4.8,3.2,4,. . .,. . .,. . .
Saint Lucia,Global Youth Tobacco Survey,2017,National,13-15,12.4,8.1,10.2,. . .,. . .,. . .,9.4,6.4,7.9,. . .,. . .,. . .,7.3,5.3,6.3,. . .,. . .,. . .
Saint Vincent and the Grenadines,Global Youth Tobacco Survey,2011,National,13-15,23.6,14.6,19.4,. . .,. . .,. . .,20.6,11.8,16.5,. . .,. . .,. . .,16.6,8.5,12.8,. . .,. . .,. . .
Samoa,Global Youth Tobacco Survey,2017,National,13-15,22.5,8.1,15.1,. . .,. . .,. . .,19.9,6.5,13,. . .,. . .,. . .,17.5,3.9,10.5,. . .,. . .,. . .
San Marino,Global Youth Tobacco Survey,2014,National,13-15,14.5,15.1,14.8,. . .,. . .,. . .,14.4,15,14.6,. . .,. . .,. . .,11.7,14.1,12.9,1.2,2.3,1.7
Sao Tome and Principe,Global Youth Tobacco Survey,2010,National,13-15,30.7,22.7,26.2,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,6.1,3,4.4,. . .,. . .,. . .
Saudi Arabia,Global Youth Tobacco Survey,2010,National,13-15,21.2,9.1,14.9,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,13,5,8.9,. . .,. . .,. . .
Senegal,Global Youth Tobacco Survey,2013,National,13-15,14.9,6.2,11.2,. . .,. . .,. . .,9.7,4.7,7.8,. . .,. . .,. . .,4.7,3.1,4.5,. . .,. . .,. . .
Serbia,Global Youth Tobacco Survey,2013,National,13-15,. . .,. . .,. . .,. . .,. . .,. . .,18.2,17.4,17.8,. . .,. . .,. . .,12.7,13.3,13,. . .,. . .,. . .
Seychelles,Global Youth Tobacco Survey,2015,National,13-15,27.2,15.9,21.4,. . .,. . .,. . .,25.6,15.2,20.2,. . .,. . .,. . .,19.6,10.3,14.7,3.6,0.8,2.1
Sierra Leone,Global Youth Tobacco Survey,2017,National,13-15,14.5,9.7,12.1,. . .,. . .,. . .,9.8,4.7,7.1,. . .,. . .,. . .,6.2,1.6,3.7,. . .,. . .,. . .
Singapore,Student Health Survey,2014-16,National,13-20,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,4.3,. . .,. . .,. . .
Slovakia,Global Youth Tobacco Survey,2016,National,13-15,23.6,23.1,23.4,. . .,. . .,. . .,21,22.4,21.6,. . .,. . .,. . .,15.5,18.9,17.1,. . .,. . .,. . .
Slovenia,Health Behaviour in School-aged Children,2014,National,15-15,. . .,. . .,. . .,. . .,. . .,. . .,14.7,11.8,13.1,9.2,8,8.6,. . .,. . .,. . .,. . .,. . .,. . .
Solomon Islands,Global School-Based Student Health Survey,2011,National,13-15,30.2,24.4,28.1,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,28.3,18.4,24,. . .,. . .,. . .
Somalia,Global Youth Tobacco Survey (Somaliland),2007,Subnational,13-15,15.5,12.3,15.6,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,4.9,4.5,5.8,. . .,. . .,. . .
South Africa,South African National Youth Risk Behaviour Survey,2011,National,14-14,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,15.3,11,13,. . .,. . .,. . .
South Sudan,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Spain,Health Behaviour in School-aged Children,2013-14,National,15-15,. . .,. . .,. . .,. . .,. . .,. . .,8,10,. . .,4,5,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Sri Lanka,Global School-Based Student Health Survey,2016,National,13-15,13,3.1,8.1,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,4.2,0.7,2.5,. . .,. . .,. . .
Sudan,Global Youth Tobacco Survey,2014,National,13-15,14.5,7.3,11.7,. . .,. . .,. . .,10.6,5,8.3,. . .,. . .,. . .,6.2,2.2,4.5,. . .,. . .,. . .
Suriname,Global Youth Tobacco Survey,2016,National,13-15,17.1,7.3,11.7,. . .,. . .,. . .,16.1,7,11.1,. . .,. . .,. . .,12.8,5.3,8.7,. . .,. . .,. . .
Sweden,Alcohol and drug use among students (Skolelevers drogvanor),2018,National,15-16,14,14,14,8,5,6,. . .,. . .,. . .,. . .,. . .,. . .,9,13,11,2,3,2
Switzerland,Health Behaviour in School-aged Children,2018,National,15-15,. . .,. . .,. . .,. . .,. . .,. . .,9.7,7.7,8.7,5.6,3.5,4.6,. . .,. . .,. . .,. . .,. . .,. . .
Syrian Arab Republic,Global Youth Tobacco Survey,2010,National,13-15,31.6,17.4,24.5,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,10.7,3.1,6.8,. . .,. . .,. . .
Tajikistan,Global Youth Tobacco Survey,2014,National,13-15,4.8,2.7,4.1,. . .,. . .,. . .,2.9,1.6,2.4,. . .,. . .,. . .,1,0.5,0.8,0.1,0.1,0.1
Thailand,Global Youth Tobacco Survey,2015,National,13-15,21.8,8.1,15,. . .,. . .,. . .,20.7,7.1,14,. . .,. . .,. . .,17.2,5.2,11.3,2.8,0.5,1.7
Timor-Leste,Global School-Based Student Health Survey,2015,National,13-15,31.8,14.1,23.4,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,25.9,5.8,15.7,. . .,. . .,. . .
Togo,Global Youth Tobacco Survey,2013,National,13-15,11.3,4.3,8.4,. . .,. . .,. . .,9.8,2.7,6.9,. . .,. . .,. . .,7.4,1.2,4.8,. . .,. . .,. . .
Tonga,Global School-Based Student Health Survey,2017,National,13-15,28,8.4,18.5,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,22.1,6.8,14.6,. . .,. . .,. . .
Trinidad and Tobago,Global Youth Tobacco Survey,2017,National,13-15,17.3,10.8,14,. . .,. . .,. . .,13.6,8.6,11,. . .,. . .,. . .,8.6,4.9,6.7,. . .,. . .,. . .
Tunisia,Global Youth Tobacco Survey,2017,National,13-15,19.2,4.6,11.7,. . .,. . .,. . .,17.5,3,10.1,. . .,. . .,. . .,14.2,1.4,7.7,. . .,. . .,. . .
Turkey,Global Youth Tobacco Survey,2017,National,13-15,23.2,12.1,17.9,. . .,. . .,. . .,23.2,12.1,17.9,. . .,. . .,. . .,9.9,5.3,7.7,. . .,. . .,. . .
Turkmenistan,Global Youth Tobacco Survey,2015,National,13-15,0.2,0.4,0.3,. . .,. . .,. . .,0.1,0.2,0.1,. . .,. . .,. . .,0.1,0,0,0,0,0
Tuvalu,Global School-Based Student Health Survey,2013,National,13-15,34.1,8.4,20.6,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,27.2,5.6,15.9,. . .,. . .,. . .
Uganda,Global Youth Tobacco Survey,2018,National,13-15,11.7,9.4,10.5,. . .,. . .,. . .,6.8,4.3,5.5,. . .,. . .,. . .,4.7,2.4,3.5,. . .,. . .,. . .
Ukraine,Global Youth Tobacco Survey,2017,National,13-15,17.8,12.1,14.9,. . .,. . .,. . .,16.2,10.7,13.5,. . .,. . .,. . .,10.8,7.7,9.2,. . .,. . .,. . .
United Arab Emirates,Global School-Based Student Health Survey,2016,National,13-15,17.8,7.7,12.7,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,11.3,5,8.1,. . .,. . .,. . .
United Kingdom of Great Britain and Northern Ireland,"Smoking, Drinking and Drug Use Among Young People in England (England)",2016,Subnational,11-15,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,5,8,6,. . .,. . .,. . .
United Republic of Tanzania,Global Youth Tobacco Survey,2016,National,13-15,6.5,2.4,4.8,. . .,. . .,. . .,4.8,1.8,3.6,. . .,. . .,. . .,1.5,0.7,1.3,. . .,. . .,. . .
United States of America,National Youth Tobacco Survey,2018,National,Middle-school,8,6.3,7.2,. . .,. . .,. . .,3.7,2.9,3.3,. . .,. . .,. . .,2.1,1.5,1.8,. . .,. . .,. . .
Uruguay,Global Youth Tobacco Survey,2014,National,13-15,12.7,12.5,12.8,. . .,. . .,. . .,9.6,9.8,9.9,. . .,. . .,. . .,7.2,8.7,8.2,. . .,. . .,. . .
Uzbekistan,Global Youth Tobacco Survey (Tashkent),2008,Subnational,13-15,2.7,1.6,2.2,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,2.4,1.2,1.8,. . .,. . .,. . .
Vanuatu,Global Youth Tobacco Survey,2017,National,13-15,19.5,14.5,16.9,. . .,. . .,. . .,16.7,11.7,14.1,. . .,. . .,. . .,14.9,7.8,11.1,. . .,. . .,. . .
Venezuela (Bolivarian Republic of),Global Youth Tobacco Survey,2010,National,13-15,11,7.2,9.4,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,5.8,5.4,5.6,. . .,. . .,. . .
Viet Nam,Global Youth Tobacco Survey,2014,National,13-15,6.9,1.3,4,. . .,. . .,. . .,6.3,0.9,3.5,. . .,. . .,. . .,4.9,0.2,2.5,. . .,. . .,. . .
West Bank and Gaza Strip,Global Youth Tobacco Survey (West Bank),2016,Subnational,13-15,43.3,. . .,31.3,. . .,. . .,. . .,39.3,17.6,28.1,. . .,. . .,. . .,28.6,7.1,17.5,. . .,. . .,. . .
Yemen,Global Youth Tobacco Survey,2014,National,13-15,23.9,9.9,18.7,. . .,. . .,. . .,19.4,7.9,15.1,. . .,. . .,. . .,9.2,2.5,6.8,. . .,. . .,. . .
Zambia,Global Youth Tobacco Survey,2011,National,13-15,24.9,25.8,25.6,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,6.2,5.7,6.2,. . .,. . .,. . .
Zimbabwe,Global Youth Tobacco Survey,2014,National,13-15,22,15.8,20,. . .,. . .,. . .,17.3,12.8,16.2,. . .,. . .,. . .,11.3,8.9,11.2,. . .,. . .,. . .
